ID	SRCID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	ANNOTATIONS	COMMENT
53	axe-iron	axe (iron)			iron, tomahawk	
54	axe	axe (stone)	677	AXE	traditional axe-head, made of stone / (Acɨ dialect) / axe, stone axe / stone / small adze used in carving bows, arrows, spears, etc. / axe / 'lu'	The “default” axe.
55	axe-tomahawk	axe (tomahawk)				
56	baby	baby	1289	BABY	girl / tagweñan / child small / (ɣokoɣini) / baby (bird) / boy / baby	
57	back	back	1291	BACK	(its) back / his back / Daga - gariwa / [W] / back of person / back / -	
58	backbone	backbone	805	SPINE		
59	back-of-hand	back (of hand)			back (of hand) / palm (of hand) / back of hand	
60	bad	bad	1292	BAD	very bad / adj / sin, evil, bad deeds (lit: 'deed bad') / rotten (house) / bad, evil / bad / bad' (initial s expected) / be bad / kʰay mamʌgi / -	
61	bad-worthless	bad (worthless)			[A] / worthless / [K] lame	
62	bag	bag	2468	BAG	netbag / plaited bag / woman's net bag / carried round the neck / a woven string bag worn by the women / bag plaited	
63	bamboo	bamboo	1927	BAMBOO	bamboo; bamboo smoking pipe / mated flutes (lit: 'female Poro') / bamboo, native pipe / bamboo / -	
64	bamboo-knife	bamboo knife			bamboo knife / knife / -	
65	banana	banana	868	BANANA	banana (type) / banana (generic term) / generic word for bananas / a certain wild banana / banana / very rounded / (Acɨ dialect) / ? / ripe banana / banana (general) / generic term for banana / +	
66	banana-seed	banana seed			black banana seed / banana seed / black seeded banana	
67	bandicoot	bandicoot	3012	BANDICOOT	bandicoot (male) / bandicoot / bandicoot variety	
68	bark	bark	1204	BARK	of a particular tree / eakɔtsipi; eakɔsipi / bark / bark/skin	
69	barl-noun	barl (noun)				
70	basket	basket	1539	BASKET	basket formed of coconut leaves / leaf mat, basket / basket / woven palm leaf basket / basket made from coconut leaf	
71	bat	bat	1793	BAT	bat variety 2 / 'bat variety 2'	
72	batten	batten				
73	beach	beach	113	SHORE	sandy beach / beach	
74	bean	bean	832	BEAN	direct borrowing from pidgin / pod / (muraeh) bindaeh	
75	beard	beard	678	BEARD	beard / whiskers, beard, moustache	
76	because	because	1157	BECAUSE	because V	
77	bed-bug	bed bug	1949	BEDBUG	bed bug	
78	before	before	1882	BEFORE	long ago, before, old / before / +	
79	behind	behind	1686	BEHIND		
80	belly	belly	1251	BELLY	my belly / stomach / belly (liver) / cannot read, belly (my) / stomach, excrement, womb, insides / = / stomach, waist / womb, belly / abdomen, belly, stomach / his stomach / Daga - goanewa, bagua / belly (my) / - / liver / a sařimgi / belly (outside) / (its) belly / bowels / deipa / belly / intestine / womb, wall / v?	
81	below	below	1485	BELOW OR UNDER	also 'under' / below / adv 'under, below, down'	
82	belt	belt	772	BELT		
83	berry	berry	904	BERRY	native raspberry, nicker nut, Molucca bean / berry, blackberry / berry sp.	
84	beside	beside	1816	BESIDE		
85	betelnut	betelnut	217	BETELNUT	betel nut tree and fruit / areca nut / betelnut' :(unexplained medial v; expected form vaha-e) / betel nut palm / betelnut / betel nut, areca nut / betel nut tree, betel nut / betel nut	
86	betelpepper	betelpepper vine	177	BETEL PEPPER VINE		
87	be-unwilling	be unwilling				
88	big	big	1202	BIG	big one / big / singular / simpi korumpai 'big stone' / very big / big, respected / big, large / chief / plural / big, large, many / Daga - baware / great / adj also 'thick', 'wide' / large / singular and plural / big, old / +	
89	bile	bile	1780	BILE		
90	bird	bird	937	BIRD	(bird) species of bird / bird (generic) / kil'e / singular / generic term for birds / generic term for bird / bird of paradise / 'bird variety 1' / bird (generic term) / southern Kuot (AN loan? Lakuramau koben=wing) / small bird / northern Kuot (AN loan) / 'bird variety 2' / species of small fowl-like jungle bird / bird, fowl / loan / bird / Daga - nenip / big bird / +	
91	bird-of-paradise	bird of paradise	2673	BIRD OF PARADISE	Raggiana Bird of Paradise / Raggiana Bird of Paradise; Lesser Bird of Paradise / [S, Y]	
92	bird-sp-gallinaceous	bird sp. (gallinaceous)				Link to FOWL 265? The concepticon definition does not include wild animals, which could be implied here
93	bit	bit			a few, little bit / piece of / a little bit, bite / a bit, bite / a little bit; few? / a little bit	
94	bitter	bitter	887	BITTER		
95	bivalve	bivalve	2785	BIVALVIA (MUSSELS OR OYSTERS)	a sharpened clam shell used to grate coconut / mussel-shell / bivalve, used as a vegetable scraper / bivalve, similar to kama clam, burned up to make lime	
96	black	black	163	BLACK	soot / black, blue, purple / dɔl'ɔ'su / be black / black, purple, blue / black / adj (AN? =Nochi 'black, dirty') / +	
97	black-creature	black (creature)			swamp pheasant, black pig, mosquito / dark brown / black	
98	black-palm	black palm	3030	LONTAR PALM	black palm / black palm (spear) / black palm tree / spear	
99	bladder	bladder	1746	BLADDER	bladder / urine bladder; ball with air bladder / urinary tract (includes kidneys and bladder); testicles / bladder, football / blister	
100	blind	blind	1653	BLIND		
101	blister	blister	1584	BLISTER		
102	blood	blood	946	BLOOD	(its) blood / blood; issue, offspring, 'flesh and blood' / blood (loan from Mado and Bareji dialects) / my blood /  blood / red / (his) blood / uwin / 'ḷ' [g] sounding / blood / his blood / doubtfull?? / +	
103	blossom	blossom				
104	blow-fire	blow (on fire)	176	BLOW (WITH MOUTH)	'blow' in original doc	
105	blue	blue	837	BLUE		
106	blunt-eg-knife	blunt (of e.g. knife)	379	BLUNT		
107	boat	boat	1844	BOAT	large vessel with sails / crude boat made from logs not hollowed out	
108	body	body	1480	BODY	body / pl. / s. / [K]	
109	bone	bone	1394	BONE	liver / (its) bone / bone my / bone (his) / bone, needle / tsaŋgun / elbow / not usually with possessive suffix / my bone / his bone / hɔři(se) / (his) bone / bone (my) / bone / vertebrae (top) / doubtfull?? / -	
110	bottom	bottom	690	BOTTOM	rear/back of house/building; backyard / below, bottom / backside / bottom / bottom, base, heel / heel / underneath / under, underneath, below / the underneath part of something / bottom, underneath side; downward slope	
111	boundary	boundary	1010	BOUNDARY	boundary marker / boundary / garden border / boundary, limit; end of story; mark of ownership; sign, miracle	
112	bow	bow	994	BOW	-	
113	bowl	bowl	1530	BOWL	large bowl made from canoe hull or from kwila tree / wooden serving dish (traditionally made from old canoe hull) / wooden serving dish / bowl / large bowl made from a canoe hull or from the kwila tree / wooden bowl / bowl, plate / large bowl made from plaited palm leaves / wooden plate	
114	bowstring	bowstring	2119	BOW STRING	+ (=vine) / rope	
115	boy	boy	1366	BOY	1/2 / brother / my child (son) / boy, male child / boy, baby, child / young boy / child / boy, lad, son / child (male) / young boy, child / baby boy / boy; son, nephew / male child, son / male, boy / son / brother (of man) / boy; nephew / man / youth, teenage fellow; bachelor / boy, son / boy (literally 'with penis') / young girl / boys; sons, nephews (pl.) / male child, boy, male / boy	
116	bracelet	bracelet	1754	BRACELET	worn on the upper arm or lower leg	
117	braid	braid	1043	BRAID	plaited braid used for tying nd supporting hair	
118	brains	brains	1583	BRAIN	[W] head / brain / -	
119	branch	branch	1531	BRANCH	middle rib of palm leaf, branch of bamboo / bamboo / s. / (tree) branch, twig / branch / branch of a tree / tree top / pl. / large tree branch / branch of tree	
120	breadfruit	breadfruit	2371	BREADFRUIT	breadfruit / testicle / testicles / bastard bread fruit / scrotum / scrotum, testicles / scrotum; fleshy part of dry coconut / bread-fruit / scrotum, testicles, little boy	
121	break-bone	break (bone)				As in fracture, missing in Concepticon.
122	breast	breast	1402	BREAST	Austronesian / breast (of woman), milk / breast; milk / Daga - amewa / her breast / breast; breast milk / breast, breast milk / (AN loan) / breast (her) / breast / breast (of woman) / AN Loan? / breast' (unexplained form; mus-e expected) / chest / +	
123	breast-ornament	breast ornament				
124	breathspirit	breath/spirit	870	BREATH	steam vaporised, breath that is seen, vapour / to get breath, take a rest / worry, sigh / air / breath; steam / spirit / breath	Missing the colexification with “soul”.
125	bridge-steps-ladder	bridge, steps, ladder			ladder/steps, bridge / steps, ladder, bridge / ladder or steps; bridge / steps / ladder, bridge, steps / bridge, ladder / bridge, steps / ark shell; steps; bridge	
126	broken	broken	588	BROKEN		
127	brother	brother	1262	BROTHER	older brother of man / brother same sex / same sex / brother / brother 1 / (his) brother / brother (of boy) / dot and accent above ʌ? / brother (older of man) / brother (elder) / brother 2 / of a man / younger brother; Boa, Kui: my younger brother / my sibling (same sex, older) / + / older brother / brother (of man) / older of man / my sibling (same sex, younger) / younger brother / sibling (same sex, older) / elder brother; Boa, Kui: my elder brother / brother to a man / when refering to one's older brother / ipu brother first	
128	brother-law	brother in law	2314	BROTHER-IN-LAW	sister-in-law: younger brother's wife / brother-in-law same sex / brother (older of man) / brother-in-law / brother-in-law (husband's younger brother), sister-in-law (younger brother's wife) / sister-in-law: younger brother's wife, wife's younger sister / brother-in-law: wife's brother or male's sister's husband (referential term) / brother-in-law to man / wife (of man's brother) / sister-in-law to man / in-law / brother-in-law to woman / brother-in-law: wife's brother, sister's husband (referential and address affine term) / brother-in-law: sister's husband, wife's brother (referential term) / brother-in-law: husband's younger brother (female referential term) / brother-in-law, husband's older brothers	
129	bundle	bundle	2943	BUNDLE		
130	burn-tr	burn (tr.)	141	BURN (SOMETHING)		
131	bush	bush	1683	BUSH	bush, jungle, rainforest / meat / bush country / bush / bush, jungle, virgin forest, inland / bush, jungle	
132	bush-fowl	bush fowl				
133	bush-hen	bush hen				
134	bush-knife	bush knife				
135	but	but	1869	BUY		
136	butterfly	butterfly	1791	BUTTERFLY	butterfly, moth / [S] / moth / butterfly / [Y] / [K] / +	
137	buttock	buttock	834	BUTTOCKS		
138	buttocks	buttocks	834	BUTTOCKS	his tail / buttocks, seat / backside / buttocks / bottom / [W] / (plural)  / buttock / +	
139	calabash	calabash	411	GOURD	hull / shell (any: snail's, beach, etc.) / hull of living things that have died, corpse; empty lime pot; shell of crab / lime gourd / jug, calabash / limepot	
140	calf	calf	1989	CALF	lower leg / -	
141	camp	camp	1105	CAMP		
142	cane	cane	146	SUGAR CANE	cane	
143	canoe	canoe	1970	CANOE	vehicle (any: land, sea, or air) / outrigger canoe / canoe / boat / boat (canoe) / [K]	
144	canoe-platform	canoe platform			platform of canoe / platform on a large canoe / deck, canoe platform / canoe platform	
145	canoe-pole	canoe pole			poling stick / pole for canoe / pole for poling canoes / pole	
146	canoe-without-outrigger	canoe without outrigger			canoe (small), canoe without an outrigger / river canoe, made without an outrigger / shard or section of broken canoe hull used to ride waves like surfboard / canoe without outrigger	
147	cap	cap	1288	CAP		
148	carpenter-bee	carpenter bee			carpenter bee / woodboring bee / wood borer insect	BEE 665 is currently mapped to “honey bee”, but we should investigate about mapping both or using hyponyms
149	carving	carving				
150	cassava	cassava	925	CASSAVA		
151	cassowary	cassowary	466	CASSOWARY	cassowary / a type of large black cassowary / v? / cassowary call / cassowary (main word) / Oceanic Loan from *kasiwar / +	
152	cassurina-tree	cassurina tree			pine trees, Casuarina tree / Casuarina evergreen tree with flaky needles / Casuarina, Australian Pine, Willow Beef Wood, Whistling Pine, Horsetail / Casuarina / klinkii pine tree (or Casuarina?)	Casuarina, common names she-oak, sheoak, ironwood, or beefwood
153	cat	cat	1208	CAT		
154	cave	cave	1155	CAVE		
155	cease	cease	1928	CEASE	stop! / to leave / stop / stop, not do / leave, let, permit / leave off, abandon, desist / leave it, stop / end of story / cease  / cease	
156	centipede	centipede	1974	CENTIPEDE	centipede / centipede, hundred-legger	
157	centre	centre	491	CENTER	eye / countenance / palm of hand / centre, midpoint; core of wood, pineapple, melon, etc. / inside / sole of foot / grammar / mid, middle, centre / core, edible part of fruit / my sole of foot / coals / (the) inside (of a thing) / centre of eye: pupil and iris	
158	ceremonial-house	ceremonial house				
159	charcoal	charcoal	1188	CHARCOAL		
160	cheek	cheek	1730	CHEEK	cheekbones / cheek / side / cheekbone / cheekbone, cheek / eyebrow / cheeks / mouth / [K]	
161	chest	chest	1592	CHEST	chest/abdomen / chest (bone) / breast of butchered pig / abdomen / wing / chest (Ifane dialect) / breast of bird / chest / +	
162	chewing-betel	chewing betel	3161	CHEW BETEL		
163	chicken	chicken	1318	CHICKEN	chicken, rooster, hen / sound a rooster makes: cock-a-doodle-doo / chicken / fowl / rooster / domestic hen derived from the jungle fowl / crowing sound	
164	chicken-tame	chicken (tame)				Need of hyponym?
165	chicken-wild	chicken (wild)				Need of hyponym?
166	child	child	1304	CHILD (YOUNG HUMAN)	boys / female / sibling (same sex, younger) / my child (daughter) / boys (variant pronunciation) / children (PL only) / girl / child / child, young person, offspring / someone's child / girl; daughter / [P] son / girl, daughter / offspring / (son) / male / daughter / boy	
167	child-f	child (f)				
168	child-m	child (m)				
169	chin	chin	1510	CHIN	[S] / [K] / chin / mouth joint	
170	chin-jaw	chin, jaw	798	JAW	beard / (his) chin / chin, jaw / chin bone / to stick to pots, eating utensils, or mouth / chin, jawbone / ani (?) / jaw, chin / lips, lip area / lip	
171	cicatrix	cicatrix	497	SCAR		
172	circumcision	circumcision	393	CIRCUMCISION		
173	citrus-fruit-sp	citrus fruit sp.	1126	CITRUS FRUIT	lemon / limes, lemons / lime, orange (introduced) / lemon, lime /  (loanword)	
174	claw	claw	72	CLAW	foreleg / foot / foot nail / (?) / of foreleg / (its) claw / leg / of foot / pɛtpɛtŋi / nail / (of bird)	
175	cliff	cliff	992	CLIFF		
176	cloth-clothes	cloth, clothes	1895	CLOTHES	clothes, piece of cloth / clothes / clothing / woman's clothes / cloth, clothes	
177	cloud	cloud	1489	CLOUD	cloud, fog / (?) / fog, low-hanging clouds / cloud, mist / cloud / many clouds / one cloud / rain that comes before a wind / cloud up / - / fog / smoke / clouds / cotton-wool pillow, cotton plant / keŋdoŋ / smoke cloud / black clouds / Daga - irikup / hyphen is higher than normal / haze / cloud? informant says 'snow' / sky	
178	club	club	1763	CLUB	stone disc club / stone war club / fighting club (disc) / club (disc) / club	
179	cobweb	cobweb	1065	SPIDER WEB		
180	cockatoo	cockatoo			white cockatoo / cockatoo / white / white (also means 'cockatoo')	Concepticon has WHITE COCKATOO 3009 and BLACK COCKATOO 3013, missing hypernym
181	cockroach	cockroach	1575	COCKROACH	centipede / cockroach	
182	coconut	coconut	970	COCONUT	coconut tree / coconut (generic term) / navel of coconut - small depression in the top of coconut where the stem joins the fruit / coconut / coconut fruit for eating / shell of coconut, often used as cup / shell of coconut / generic term for coconuts (both tree and fruit) / ?	
183	coconut-mat	coconut mat			woven mat made from criss-crossed palm frond leaves / mat / coconut mat / mat (coconut)	
184	coconut-palm	coconut palm	147	COCONUT TREE	yɩbʌnyəŋ - the fruit, yɩp - the tree / meuk	
185	coconut-shell	coconut shell				
186	cold	cold	1287	COLD	afternoon / calm / cool, lukewarm / cool / cold / evening / cold (water) / cold (food) / silent / very short 'ö' / to be cold / verb 'to be' follows / cold (of water) / Vcls 1, cold, cool in general / wind / cold (also means 'wind') / [W] / compound word, never singular / (water) / cold water	
187	collar-bone	collar bone	1994	COLLARBONE		
188	comb	comb	1475	COMB		
189	come-quick	come quick!				
190	container	container	1465	BOX		
191	contents	contents				
192	cooked	cooked	269	COOKED	cooked / [P] / +	
193	copula	copula	1579	BE		
194	copulate	copulate	549	COPULATE		
195	coral	coral	3179	CORAL ROCK	to become high tide, reef to be covered / coral / small bug like walking stick / reef rocks / moon, month / moon	
196	cordyline-sp	Cordyline sp.			tangget, Cordyline	
197	core-kernel	core, kernel	1762	STONE (OF FRUIT)		
198	corn	corn	506	MAIZE		
199	corner	corner	192	CORNER	corner / corner of house for food storage, kitchen cupboard	
200	courage	courage	3049	COURAGE		
201	cousin	cousin	1643	COUSIN	mother's sibling's girl, father's sister's girl / father's sister's girl / mother's brother's girl, mother's sister's girl / female cousin / mother's brother's son / cousin / mother's brother's son, father's sister's son / mother's brother's girl, father's sister's girl	
202	co-wife	co-wife			step-mother, father's other wife, husband's other wife / sister-in-law: referential term for husband's wives and husband's brothers' wives / wife, husband's mate / co-wife / husband's other wife / co-wife or husband's brother's wife	
203	cowrie	cowrie			large cowrie, conch shell / cowrie: pure white cowrie (Ovum ovulum), Money Cowrie (Cypraea moneta), Dawn Cowrie (Cypraea diliculum) / conch shell / cowrie / pure white cowrie (Ovum ovulum) / cowrie: Lynx Cowrie (Cypraea lynx), Tiger Cowrie (Cypraea tigris) / white conches	
204	crab	crab	2348	CRAB		
205	cracking-sound	cracking sound	1811	SOUND OR NOISE	cracking sound / bang (gun) / bang! / crack! / gun	
206	crayfish	crayfish	467	CRAYFISH		
207	crocodile	crocodile	1857	CROCODILE	crocodile / - / [K] / crocodile; Stonefish, like Cabezon but dark-coloured	
208	crooked	crooked	297	CROOKED	-	
209	crossbelt	crossbelt				
210	cross-cousin	cross cousin	3162	CROSS-COUSIN		
211	crown-pigeon	crown-pigeon			[K]	
212	crumbs	crumbs				
213	crust	crust				
214	cucumber	cucumber	496	CUCUMBER		
215	cuscus	cuscus				
216	cut-hair	cut (hair)				Also found in other concept lists, but not in Concepticon.
217	dark	dark	706	DARK	colored	
218	daughter	daughter	1357	DAUGHTER		
219	day	day	1260	DAY (24 HOURS)	daytime, daylight / = daylight / day / sun	
220	day-after-tomorrow	day after tomorrow	1179	DAY AFTER TOMORROW	- / day before yesterday, day after tomorrow	
221	day-before-yesterday	day before yesterday	1180	DAY BEFORE YESTERDAY	- / day before yesterday, day after tomorrow	
222	day-before-yesterday-day-after-tomorrow	day before yesterday, day after tomorrow			day before yesterday, day after tomorrow	
223	daybreak	daybreak	729	DAWN		
224	daylight	daylight	1225	DAY (NOT NIGHT)	tomorrow / dawn / before in time / West, red clouds as at sunset / daylight	
225	dead	dead	1625	DEAD		
226	dead-person	dead person			[A]	
227	deaf	deaf	458	DEAF PERSON		
228	death-adder	death adder	2654	VIPER		
229	deep	deep	1593	DEEP	[S] / [Y] / long, deep	
230	desire	desire	2117	DESIRE	wish, want, desire / desire, wish, want / want, wish / hungry / like, want / desire, want / desire / desire, wish; will	
231	dew	dew	1977	DEW	falling dew, dewdrops, dewfall / dew / nocturnal dew, precipitation	
232	dibble-stick	dibble stick	339	DIGGING STICK	dibble stick, wooden tool used to plant seeds and work the garden soil, etc. / stake / dibble stick used for planting / dibble stick / digging stick / dibble stick; pencil	
233	died	died				
234	different	different	2504	DIFFERENT		
235	dirt-mud	dirt, mud	25	DIRT	mud / cobweb / dirt particles clinging to clothes and skin	
236	dirty	dirty	1230	DIRTY	adj / dirty/old (for things) / dirty / - / dirty (water)	
237	dirty-water	dirty (water)				
238	disc-club	disc club			club (disc) / disc club / club	
239	distribution	distribution				
240	dog	dog	2009	DOG	Austronesian / dog' (ʔ suspicious here, zero expected) / [S, Y] / kɔvel'a / kᵊga / karafo (dog) besi (man) poranohid̯e (he bit) / (AN: same as Nochi) / first 'e' very short / Daga - eiao / Austronesian loanword / watə / borrowed / dog / -	
241	door	door	1567	DOOR		
242	down	down	1326	DOWN	'down, below'	
243	dragon-fly	dragon-fly	2352	DRAGONFLY	dragon-fly / dragon-fly; tree / very small green and yellow frogs	
244	draw-water-carry	draw water / carry	1911	DRAW (WATER)	dip up, ladle up (often done with the container the substance will remain in) / carry, dip (water), catch (birds, fish) / to fetch water, take up with a spoon / dip / carry / catch, pull / draw water	
245	drift	drift				
246	drum	drum	908	DRUM	kundu drum, guitar / handleless drum / signal drum or split gong / drum / hand drum / drum *tatamu/ / +	
247	dry	dry	1398	DRY	dry/hard / several plants to dry up / dry (not wet) / hard, difficult / (clothing) / aroma of roasting meat or fish / leaf / to wither / to dry up / dry / dry out / + / (general term) / verb 'to be' follows / Vcls 1, of sores or anything wet that dries out / verb or adj? / dry (leaf) / dry (clothes) / Vcls 1, dry, be dry in general / dry (stg), dry (adj) / dry (clothing) / (it is) dry	
248	dry-meat	dry meat				
249	dugong	dugong			dugong, sea cow, sea manatee	Add MANATEE to concepticon?
250	dull	dull	1397	DULL	dull / dull end of a knife / adj / blunt	
251	dumb	dumb	1492	DUMB	[A] / [S]	
252	dust	dust	2	DUST	dust, ground / dust	
253	dye	dye	157	DYE		
254	eagle	eagle	1905	EAGLE	eagle variety	
255	ear	ear	1247	EAR	eardrum / deaf / gabʌg̶ ̋yi / my ear / earache (lit: 'big ears') / eti haři / his ear / (its) ear / ear (main word, older generation) / ear (external) / Daga - darinewa / 'na' - my / ear (not main word, younger generation) / earring / ear / ear my / ul-tʌŋʌn kʌlɩgʌ / +	
256	ear-ornament	ear ornament				
257	ear-ring	ear-ring	770	EARRING		
258	earthmud	earth/mud	2158	EARTH (WET SUBSTANCE)	name of a certain type grass / mud / earth	
259	earthquake	earthquake	6	EARTHQUAKE		
260	earth	earth/soil	1228	EARTH (SOIL)	ground, earth / earth / here / to plaster oneself with mud / soil / ground, dust / ground / black earth used for decoration purposes / ground, place / earth (ground) / [ʌ] is short / swamp / under / earth, land, ground / earth/ground / earth, ground, land / pond / hole / ground, earth, world / farm / island / soil, earth / red earth used for decoration / earth, ground	
261	edge	edge	863	EDGE		
262	eel	eel	1013	FRESHWATER EEL	eel	
263	egg	egg	744	EGG	egg, kernel, core, stomach / egg (chicken) / ball / embers of a fire / egg, kernel / mutuƀu / Daga - bagua / egg / megapode egg / egg, knee / egg (when combined with word for 'bird'), stomach / Kabil dialect / pisin egg / heře akia fikila / hen egg / chicken egg / rice (lit: 'ant eggs') / Daga - gat topen / +	
264	eight	eight	1705	EIGHT	5+3 / eight / 5 + 2 + 1 / 2+2+2+2	
265	eighteen	eighteen	1713	EIGHTEEN		
266	elbow	elbow	981	ELBOW	head joint / arm / wrist / elbow / arm, elbow / knob, knot, knuckle / (his) hand / joint, elbow / 'tuřuk / elbow; bend in pipe / elbow, ankle / hand joint / ankle / +	
267	elder	elder	725	OLD PERSON	firstborn / sibling (same sex, older) / first; eldest, firstborn / firstborn, previously born / older brother / old man or woman / my sibling (same sex, older) / first-born child	
268	eleven	eleven	1706	ELEVEN		
269	embers	embers	67	EMBERS	ashes / cinder / charcoal / soot / charcoal, embers, cinders / charcoal, soot / embers / embers of a fire / ashes (black) / smoke (Mokorua dialect) / black / cinders	
270	emphatic-pronoun-marker	emphatic pronoun marker				
271	empty	empty	1624	EMPTY	empty / vainly, in vain, for no purpose / empty, none left / not / just, empty, nothing / none / nothing, short, empty, without / nothing, none / no / +	
272	enemy	enemy	1358	ENEMY		
273	enough	enough	1881	ENOUGH		
274	erect	erect				
275	evening	evening	1629	EVENING	afternoon, after three o'clock / afternoon / evening	
276	excreta	excreta	47	EXCRETA	intestines / 'excreta, intestines'	
277	extinguish	extinguish	127	EXTINGUISH		
278	eye	eye	1248	EYE	perception (Motu loan) / sleep deposit in eyes / my eye / eye(s) / eye my / eye-ball / eye; front side / (its) eye / lament / his eye / eye matter / - / centre / eye / singular / eye (his) / eye, face / eye lash / Daga - yamewa / *Moszkowski list / eye (my) / pelnɛlƀɛ	
279	eyebrow	eyebrow	1173	EYEBROW		
280	eyelashes	eyelashes	1540	EYELASH	eyelash / eyelashes / root of tree / eyelashes; feelers; tentacles; stamens and pistils	
281	face	face	1560	FACE		
282	face-forehead	face, forehead			hair of head / in front of / face, front side of things / face; forehead; appearance; side/face of an object / my hair of head / his forehead / head, forehead / head / hair on people's head / my forehead / his head / face / hair / forehead, face / (his) forehead / forehead / face, front of / my head / smart, nimble-minded	FOREHEAD already used.
